CID,Name,Class_1,Class_2,Ammonium_CID,Ammonium_name
222,ammonia,linear,monoammonium,223,Ammonium
6329,methylamine,linear,monoammonium,644041,Methylammonium
6341,ethylamine,linear,monoammonium,3427831,Ethylammonium
7852,propylamine,linear,monoammonium,3483736,Propylammonium
8007,butylamine,linear,monoammonium,3614750,Butylammonium
8060,pentylamine,linear,monoammonium,3927698,Pentylammonium
8102,hexylamine,linear,monoammonium,6992045,Hexylammonium
8127,heptylamine,linear,monoammonium,15839333,Heptylammonium
8143,octylamine,linear,monoammonium,3691730,Octylammonium
16215,nonylamine,linear,monoammonium,21976041,Nonylammonium
8916,decylamine,linear,monoammonium,5155513,Decylammonium
13583,dodecylamine,linear,monoammonium,3390094,n-dodecylammonium
16217,tetradecylamine,linear,monoammonium,15687967,Tetradecylaminium
8926,hexadecylamine,linear,monoammonium,3701362,hexadecylaminium
15793,octadecylamine,linear,monoammonium,3956611,octadecylammonium
6363,isopropylamine,linear-branch,monoammonium,3364502,isopropylammonium
24874,2-butylamine,linear-branch,monoammonium,5247073,Butan-2-ylazanium
6558,isobutylamine,linear-branch,monoammonium,3041751,Isobutylammonium
5603,1-methylhexylamine,linear-branch,monoammonium,22068094,1-Methylhexane-1-aminium
7719,2-ethylhexylamine,linear-branch,monoammonium,21938816,2-Ethylhexylazanium
7853,allylamine,linear-unsat,monoammonium,5153084,Prop-2-enylazanium
10034574,1-amino-3-butyne,linear-unsat,monoammonium,51668979,But-3-ynylazanium
155569865,"deca-3,5-diyn-1-amine",linear-unsat,monoammonium,-1,"Deca-3,5-diyn-1-ammonium"
674,dimethylamine,linear-N,monoammonium,3614769,dimethylammonium
1146,trimethylamine,linear-N,monoammonium,3782034,trimethylammonium
9321,hydrazine,linear-N,monoammonium,87681,hydrazinium
6061,methylhydrazine,linear-N,monoammonium,21718326,Methylhydrazinium
67171,acetamidine,linear-N-unsat,monoammonium,67171,Acetamidinium
1647,2-cyanoethylamine,linear-N-unsat,monoammonium,6992017,2-cyanoethylammonium
3520,guanidine,linear-N-unsat,monoammonium,32838,Guanidinium
68047,formamidine,linear-N-unsat,monoammonium,59979088,Iminomethanaminium
5142,s-methylisothiourea,linear-N-unsat-S,monoammonium,4553576,2-methylthiuronium
239,3-aminopropanoic acid,linear-heteroatom-COOH,monoammonium,5105983,2-Carboxyethylazanium
119,4-aminobutyric acid,linear-heteroatom-COOH,monoammonium,449579,3-Carboxypropylammonium
138,5-aminopentanoic acid,linear-heteroatom-COOH,monoammonium,449593,4-Carboxybutylammonium
787,hydroxylamine,linear-heteroatom-OH,monoammonium,933,hydroxylammonium
700,ethanolamine,linear-heteroatom-OH,monoammonium,444693,2-aminoethanol protonated
9086,propanolamine,linear-heteroatom-OH,monoammonium,1551059,3-aminopropanol protonated
25868,4-aminobutanol,linear-heteroatom-OH,monoammonium,448524,4-hydroxybutylammonium
75634,5-amino-1-pentanol,linear-heteroatom-OH,monoammonium,6997165,5-hydroxypentylammonium
19960,6-aminohexanol,linear-heteroatom-OH,monoammonium,6992902,6-hydroxyhexylammonium
13306451,2-iodoethanamine,linear-heteroatom-I,monoammonium,140862874,2-iodoethylammonium
21194665,3-iodo-propylamine,linear-heteroatom-I,monoammonium,-1,3-iodopropylammonium
21440816,4-iodo-butylamine,linear-heteroatom-I,monoammonium,23203515,4-Iodobutylazanium
86056440,5-iodo-pentylamine,linear-heteroatom-I,monoammonium,148395624,5-Iodopentylazanium
13406458,6-iodohexan-1-amine,linear-heteroatom-I,monoammonium,152628611,6-Iodohexylazanium
7851,2-bromoethylamine,linear-heteroatom-Br,monoammonium,25202802,2-bromoethylammonium
13369,2-chloroethylamine,linear-heteroatom-Cl,monoammonium,23262204,2-Chloroethylaminium
9996,2-fluoroethylamine,linear-heteroatom-F,monoammonium,23236198,(2-Fluoroethyl)aminium
136274,"2,2-difluoroethylamine",linear-heteroatom-F,monoammonium,7330431,"2,2-Difluoroethylazanium"
9773,"2,2,2-trifluoroethylamine",linear-heteroatom-F,monoammonium,7058078,"2,2,2-trifluoroethylammonium"
69828,cyclopropylamine,cyclic,monoammonium,5260164,Cyclopropylammonium
75645,cyclobutylamine,cyclic,monoammonium,6994063,Cyclobutylammonium
2906,cyclopentylamine,cyclic,monoammonium,7359936,Cyclopentylammonium
7965,cyclohexanamine,cyclic,monoammonium,1549093,Cyclohexylammonium
2899,cycloheptylamine,cyclic,monoammonium,7048545,Cycloheptylammonium
2903,cyclooctylamine,cyclic,monoammonium,7057898,Cyclooctylazanium
76688,cyclohexylmethanamine,cyclic,monoammonium,448748,Cyclohexylmethanaminium
20509,2-cyclohexylethylamine,cyclic,monoammonium,22389533,2-cyclohexylethylammonium
76938,2-(1-cyclohexenyl)ethylamine,cyclic,monoammonium,7156985,2-(1-cyclohexenyl)ethylammonium
419223,4-aminotetrahydropyran,cyclic-heteroatom-O,monoammonium,6991942,Oxan-4-ylazanium
129866010,"2,2'-(ethylenedioxy)-bis-ethylamine",cyclic-heteroatom-O,monoammonium,-1,"2,2'-(ethylenedioxy)bis-(ethylammonium)"
3847030,"4,4-difluorocyclohexanamine",cyclic-heteroatom-F,monoammonium,42552892,"(4,4-Difluorocyclohexyl)azanium"
10422,azetidine,cyclic-N,monoammonium,4440922,azetidinium
8082,piperidine,cyclic-N,monoammonium,637969,piperidinium
66059,3-pyrroline,cyclic-N-unsat,monoammonium,7318907,"2,5-Dihydro-1H-pyrrol-1-ium"
52911246,4-fluoroazepane,cyclic-N-heteroatom-F,monoammonium,-1,4-fluorohexahydroazepine
2758352,"4,4-difluoropiperidine",cyclic-N-heteroatom-F,monoammonium,7006488,"4,4-Difluoropiperidin-1-ium"
7504,benzylamine,aromatic,monoammonium,4996382,Benzylaminium
66035,4-methylbenzylamine,aromatic,monoammonium,5247075,(4-Methylphenyl)methylazanium
7515,N-methylaniline,aromatic,monoammonium,3494562,N-methylanilinium
1001,phenethylamine,aromatic,monoammonium,448751,2-Phenylethanaminium
7408,1-phenylethylamine,aromatic,monoammonium,3729695,1-Phenylethylazanium
643189,(R)-1-phenylethanamine,aromatic,monoammonium,7857630,(1r)-1-Phenylethanaminium
75818,(S)-1-phenylethanamine,aromatic,monoammonium,7855572,(1S)-1-Phenylethanaminium
76751,4-methylphenethylamine,aromatic,monoammonium,6993685,2-(4-Methylphenyl)ethylazanium
1547949,(R)-(+)-beta-methylphenethylamine,aromatic,monoammonium,6989900,[(2R)-2-Phenylpropyl]azanium
1547950,(S)-(-)-beta-methylphenethylamine,aromatic,monoammonium,6989901,[(2S)-2-Phenylpropyl]ammonium
414329,"2-(3,5-dimethylphenyl)ethanamine",aromatic,monoammonium,-1,"2-(3,5-Dimethylphenyl)ethyl-1-ammonium"
16259,3-phenylpropylamine,aromatic,monoammonium,448752,3-Phenylpropylazanium
83242,4-phenylbutylamine,aromatic,monoammonium,448750,4-Phenylbutylazanium
137282,1-(2-naphthyl)methanamine,aromatic,monoammonium,40423585,Naphthalen-2-ylmethylazanium
98089,1-(1-naphthyl)ethylamine,aromatic,monoammonium,5247071,1-Naphthalen-1-ylethylazanium
66325,(S)-(-)-1-(1-naphthyl)ethylamine,aromatic,monoammonium,6994505,[(1S)-1-Naphthalen-1-ylethyl]azanium
2724264,(R)-(+)-1-(1-naphthyl)ethylamine,aromatic,monoammonium,6999831,[(1R)-1-Naphthalen-1-ylethyl]azanium
3784378,2-(2-naphthyl)ethanamine,aromatic,monoammonium,40418444,2-Naphthalen-2-ylethylazanium
7102,4-biphenylamine,aromatic,monoammonium,15253481,p-Phenylanilinium
28210,2-(4-biphenyl)ethylamine,aromatic,monoammonium,6992907,2-(4-Phenylphenyl)ethylazanium
3311060,1-pyrenebutylamine,aromatic,monoammonium,7020312,[4-(Pyrene-1-yl)butyl]aminium
34005,2-thiophenemethylamine,aromatic-S,monoammonium,5167853,Thiophen-2-ylmethylazanium
116521,2-thiopheneethylamine,aromatic-S,monoammonium,6931151,2-(2-Thienyl)ethaneaminium
22250,4-methoxy-N-methylaniline,aromatic-heteroatom-methoxy,monoammonium,20671612,(4-Methoxyphenyl)-methylazanium
4657,4-methoxyphenethylamine,aromatic-heteroatom-methoxy,monoammonium,6950470,2-(4-Methoxyphenyl)ethylazanium
7807,4-bromoaniline,aromatic-heteroatom-Br,monoammonium,23277843,4-Bromoanilinium
77571,4-bromobenzylamine,aromatic-heteroatom-Br,monoammonium,6951353,(4-Bromophenyl)methylazanium
457588,3-bromo-N-methylbenzylamine,aromatic-heteroatom-Br,monoammonium,6954624,(3-Bromophenyl)methyl-methylazanium
2734091,2-bromophenethylamine,aromatic-heteroatom-Br,monoammonium,6951200,2-(2-Bromophenyl)ethylazanium
533915,4-bromophenethylamine,aromatic-heteroatom-Br,monoammonium,6951518,2-(4-Bromophenyl)ethylazanium
18509414,"2-(3,5-dibromophenyl)ethanamine",aromatic-heteroatom-Br,monoammonium,-1,"2-(3,5-Dibromophenyl)ethyl-1-ammonium"
7812,4-chloroaniline,aromatic-heteroatom-Cl,monoammonium,3784228,(4-Chlorophenyl)azanium
66036,4-chlorobenzylamine,aromatic-heteroatom-Cl,monoammonium,5247069,(4-Chlorophenyl)methylazanium
122721,3-chloro-N-methylbenzylamine,aromatic-heteroatom-Cl,monoammonium,6932645,(3-Chlorophenyl)methyl-methylazanium
83117,2-chlorophenethylamine,aromatic-heteroatom-Cl,monoammonium,6951560,2-(2-Chlorophenyl)ethylazanium
67430,4-chlorophenethylamine,aromatic-heteroatom-Cl,monoammonium,3520041,2-(4-Chlorophenyl)ethylazanium
15670830,"3,5-dichlorophenethylamine",aromatic-heteroatom-Cl,monoammonium,51669880,"2-(3,5-Dichlorophenyl)ethylazanium"
97803,1-(4-chlorophenyl)ethanamine,aromatic-heteroatom-Cl,monoammonium,18541873,1-(4-Chlorophenyl)ethylazanium
1715226,(R)-1-(4-chlorophenyl)ethylamine,aromatic-heteroatom-Cl,monoammonium,1715225,[(1R)-1-(4-Chlorophenyl)ethyl]azanium
1550852,(S)-1-(4-chlorophenyl)ethylamine,aromatic-heteroatom-Cl,monoammonium,1550851,[(1S)-1-(4-Chlorophenyl)ethyl]azanium
2759011,3-fluoro-N-methylaniline,aromatic-heteroatom-F,monoammonium,147503799,(3-Fluorophenyl)-methylazanium
68024,4-fluoro-N-methylaniline,aromatic-heteroatom-F,monoammonium,143387849,FC1=CC=C(C=C1)[NH2+]C
66649,2-fluorobenzylamine,aromatic-heteroatom-F,monoammonium,6932559,(2-Fluorophenyl)methylazanium
67326,4-fluorobenzylamine,aromatic-heteroatom-F,monoammonium,448749,(4-Fluorophenyl)methanaminium
457577,3-fluoro-N-methylbenzylamine,aromatic-heteroatom-F,monoammonium,457577,1-(3-Fluorophenyl)-N-methylmethanamine
643357,2-fluorophenethylamine,aromatic-heteroatom-F,monoammonium,5249508,2-fluorophenylethylammonium
533928,3-fluorophenethylamine,aromatic-heteroatom-F,monoammonium,5249511,3-fluorophenylethylammonium
4653,4-fluorophenethylamine,aromatic-heteroatom-F,monoammonium,5249512,4-fluorophenylethylammonium
11052938,"2,3,4,5,6-pentafluorophenethylamine",aromatic-heteroatom-F,monoammonium,21954821,"2,3,4,5,6-Pentafluorophenethylaminium"
69883,2-(trifluoromethyl)phenethylamine,aromatic-heteroatom-F,monoammonium,37888245,2-[2-(trifluoromethyl)phenyl]ethylazanium
2737533,4-Iodobenzylamine,aromatic-heteroatom-I,monoammonium,7020344,(4-Iodophenyl)methylazanium
795,imidazole,aromatic-N,monoammonium,444234,Imidazolium
1390,1-methylimidazole,aromatic-N,monoammonium,444235,1-methylimidazolium
5798,benzimidazole,aromatic-N,monoammonium,4569300,1H-Benzimidazol-1-ium
78736,1-(3-aminopropyl)imidazole,aromatic-N,monoammonium,78736,N-(3-aminopropyl)imidazole
9257,"1,2,4-triazole",aromatic-N,monoammonium,4640940,4-Azonia-1H-pyrazole
10009,3-aminopyridine,aromatic-N,monoammonium,444228,3-aminopyridinium
31018,3-(aminomethyl)pyridine,aromatic-N,monoammonium,3284328,3-Pyridinylmethylammonium
77317,4-(aminomethyl)pyridine,aromatic-N,monoammonium,153273942,Pyridin-4-ylmethylazanium
1150,tryptamine,aromatic-N,monoammonium,3985862,tryptaminium
9256,thiazole,aromatic-N-S,monoammonium,18949674,"1,3-thiazol-3-ium"
70714,3-iodopyridine,aromatic-N-heteroatom-I,monoammonium,70714,3-iodopyridine
12286,3-bromopyridine,aromatic-N-heteroatom-Br,monoammonium,4867508,3-bromopyridinium
345375,"5,6-difluorobenzimidazole",aromatic-N-heteroatom-F,monoammonium,-1,"5,6-difluorobenzimidazolium"
3301,"1,2-diaminoethane",linear,diammonium,4639902,2-Azaniumylethylazanium
428,"1,3-diaminopropane",linear,diammonium,4030255,Trimethylenediaminium
1045,"1,4-diaminobutane",linear,diammonium,3452892,"1,4-Butanediammonium"
273,"1,5-diaminopentane",linear,diammonium,3718401,Cadaverine(2+)
16402,"1,6-diaminohexane",linear,diammonium,1549137,6-Azaniumylhexylazanium
69533,"1,7-diaminoheptane",linear,diammonium,6994016,"1,7-heptanediammonium"
24250,"1,8-diaminooctane",linear,diammonium,5247760,"1,8-octanediammonium"
69534,"1,9-diaminononane",linear,diammonium,6997242,"1,9-Nonanediaminium"
1317,"1,10-diaminodecane",linear,diammonium,1551289,10-Azaniumyldecylazanium
17727,"1,12-diaminododecane",linear,diammonium,5255535,12-Azaniumyldodecylazanium
85862,"2-methylpentane-1,5-diamine",linear,diammonium,57422108,(5-Azaniumyl-2-methylpentyl)azanium
8014,"N1-methylethane-1,2-diamine",linear-N,diammonium,6999983,2-Azaniumylethyl(methyl)azanium
80511,"N-methylpropane-1,3-diamine",linear-N,diammonium,6992742,3-Azaniumylpropyl(methyl)azanium
66053,2-dimethylaminoethylamine,linear-N,diammonium,6993230,2-Azaniumylethyl(dimethyl)azanium
66978,"N,N'-dimethylpropane-1,3-diamine",linear-N,diammonium,6995216,Methyl-[3-(methylazaniumyl)propyl]azanium
193756,2-aminoethyl(trimethyl)azanium,linear-N,diammonium,20588941,2-(Trimethylaminio)ethylaminium
4091,"N,N-dimethylbiguanide",linear-N,diammonium,-1,"N,N-dimethylbiguanidinium"
2915,cystamine,linear-S,diammonium,1550787,2-(2-Azaniumylethyldisulfanyl)ethylazanium
2039,(2-aminoethyl)isothiourea,linear-S-N,triammonium,1615799,[Amino(2-azaniumylethylsulfanyl)methylidene]azanium
70248,"1,8-diamino-3,6-dioxaoctane",linear-O,diammonium,70248,"1,8-Diamino-3,6-dioxaoctane"
61157,"1,3-diamino-2-propanol",linear-heteroatom--OH,diammonium,3844163,(3-Azaniumyl-2-hydroxypropyl)azanium
4610,"cyclohexane-1,2-diamine",cyclic,diammonium,3826156,(2-Azaniumylcyclohexyl)azanium
17354,"1,4-cyclohexanedimethanamine",cyclic,diammonium,5242220,[4-(Azaniumylmethyl)cyclohexyl]methylazanium
4837,piperazine,cyclic-N,diammonium,5242433,Piperazinium
79196,1-ethylpiperazine,cyclic-N,diammonium,79196,1-ethylpiperazine
53167,1-methylpiperazine,cyclic-N,diammonium,53167,1-methylpiperazine
8795,N-aminoethylpiperazine,cyclic-N,diammonium,101464990,1-(2-Aminoethyl)piperazinium
90865,2-(aminomethyl)piperidine,cyclic-N,monoammonium,21136462,Piperidin-2-ylmethylazanium
90880,3-(aminomethyl)piperidine,cyclic-N,monoammonium,154474465,C1(CN)C[NH2+]Ccc1
23527,4-(aminomethyl)piperidine,cyclic-N,diammonium,6931760,Piperidin-1-ium-4-ylmethylazanium
33944,N-(2-aminoethyl)piperidine,cyclic-N,diammonium,6919057,2-Piperidin-1-ium-1-ylethylazanium
164401,3-aminopyrrolidine,cyclic-N,diammonium,23382685,Pyrrolidin-1-ium-3-ylazanium
75994,N-benzylpiperazine,cyclic-N-aromatic,diammonium,4745088,"1-Benzyl-1,4-diazoniacyclohexane"
7814,"1,4-diaminobenzene",aromatic,diammonium,4155299,(4-Azaniumylphenyl)azanium
7472,"N,N-dimethyl-1,4-phenylenediamine",aromatic,diammonium,23382752,(4-Azaniumylphenyl)-dimethylazanium
7935,"1,3-phenylenediamine",aromatic,diammonium,3522745,(3-Azaniumylphenyl)azanium
7577,"4,4'-diaminodiphenylmethane",aromatic,diammonium,6932775,[4-[(4-Azaniumylphenyl)methyl]phenyl]azanium
20134827,3-(2-aminoethyl)aniline,aromatic,monoammonium,40427451,2-(3-Aminophenyl)ethylazanium
74270,N-Phenylethylenediamine,aromatic,monoammonium,6995080,2-Anilinoethylazanium
77801,N-benzylethylenediamine,aromatic,diammonium,6995752,2-Azaniumylethyl(benzyl)azanium
7111,benzidine,aromatic,diammonium,5255574,(4'-Ammonio-4-biphenylyl) ammonium
16720,"1,5-diaminonaphthalene",aromatic,diammonium,16720,"Naphthalene-1,5-diamine"
774,histamine,aromatic-N,diammonium,11309913,2-(1H-Imidazol-1-ium-4-yl)ethylazanium
3082145,2-(2-aminoethyl)imidazole,aromatic-N,monoammonium,29078542,2-(1H-Imidazol-2-yl)ethylazanium
101463,"2,2'-biimidazole",aromatic-N,diammonium,137147644,"3,3'-Diazonia-2,2'-bi[1H-imidazole]"
202043,3-amidinopyridine,aromatic-N,monoammonium,6339264,[Amino(pyridin-3-yl)methylidene]azanium
409094,4-amidinopyridine,aromatic-N,monoammonium,7010406,Pyridine-4-carboximidoylazanium
11107,"4,4'-bipyridine",aromatic-N,diammonium,11107,"4,4'-bipyridine"
78630,"4,4'-ethylenedipyridine",aromatic-N,diammonium,78630,"4,4'-Ethylenedipyridine"
83275,2-(4-pyridyl)ethylamine,aromatic-N,diammonium,3321061,2-(4-Pyridyl)ethylammonium
75919,2-(2-pyridyl)ethylamine,aromatic-N,diammonium,139076099,2-pyridin-1-ium-2-ylethylazanium
854051,2-(3-pyridyl)ethylamine,aromatic-N,monoammonium,6951177,2-Pyridin-3-ylethylazanium
