CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,11.484444,-0.83019894
6329,CN,Existing,11.592364,-1.1558957
6341,CCN,Existing,11.8129635,-1.3765897
7852,CCCN,Existing,11.828572,-1.839367
8007,CCCCN,Existing,12.218198,-2.0643551
8060,CCCCCN,Existing,12.420575,-1.9378058
8102,CCCCCCN,Existing,12.501048,-2.29719
8127,CCCCCCCN,Existing,12.747996,-2.0624685
8143,CCCCCCCCN,Existing,12.610521,-2.4177208
16215,CCCCCCCCCN,Existing,12.869002,-2.2762978
8916,CCCCCCCCCCN,Existing,12.707126,-2.4804811
13583,CCCCCCCCCCCCN,Existing,12.511322,-2.2419198
16217,CCCCCCCCCCCCCCN,Existing,12.964105,-2.351882
8926,CCCCCCCCCCCCCCCCN,Existing,12.619218,-2.141275
15793,CCCCCCCCCCCCCCCCCCN,Existing,12.778065,-2.2349322
6363,CC(C)N,Existing,11.30173,-0.05368327
24874,CCC(C)N,Existing,11.44848,0.09016254
6558,CC(C)CN,Existing,12.589578,-1.2396059
5603,CCCCCC(C)N,Existing,11.893727,0.63611424
7719,CCCCC(CC)CN,Existing,13.386204,-1.3829195
7853,C=CCN,Existing,13.559333,-0.83165866
10034574,C#CCCN,Existing,12.779346,-1.6325016
155569865,CCCCC#CC#CCCN,Existing,13.1071415,-1.9165192
674,CNC,Existing,11.727132,-1.1665201
1146,CN(C)C,Existing,11.593677,-1.0617875
9321,NN,Existing,11.374565,-0.8881007
6061,CNN,Existing,11.389319,-1.3629395
67171,CC(=N)N,Existing,11.4354725,-0.54267126
1647,N#CCCN,Existing,12.695993,-2.1805363
3520,N=C(N)N,Existing,11.455411,-0.8475701
68047,N=CN,Existing,11.652862,-0.6198662
5142,CSC(=N)N,Existing,12.79831,1.2227186
239,NCCC(=O)O,Existing,12.823026,-1.0438426
119,NCCCC(=O)O,Existing,12.9217825,-0.56843364
138,NCCCCC(=O)O,Existing,13.01805,-0.6180845
787,NO,Existing,11.42184,-0.8885803
700,NCCO,Existing,12.494268,-1.0024387
9086,NCCCO,Existing,12.729035,-1.4838433
25868,NCCCCO,Existing,12.744912,-1.1145383
75634,NCCCCCO,Existing,13.006774,-1.2994022
19960,NCCCCCCO,Existing,12.893504,-1.227606
13306451,NCCI,Existing,12.158566,-1.3908355
21194665,NCCCI,Existing,12.334618,-1.5498629
21440816,NCCCCI,Existing,12.719217,-1.3355013
86056440,NCCCCCI,Existing,12.889877,-1.0308645
13406458,NCCCCCCI,Existing,12.677089,-0.87159073
7851,NCCBr,Existing,12.191236,-1.5253327
13369,NCCCl,Existing,12.572198,-0.53323376
9996,NCCF,Existing,12.569732,-1.766378
136274,NCC(F)F,Existing,12.940729,-1.8362192
9773,NCC(F)(F)F,Existing,12.490403,-1.4164059
69828,NC1CC1,Existing,11.466873,-0.08019321
75645,NC1CCC1,Existing,11.591196,0.068336025
2906,NC1CCCC1,Existing,12.132118,0.10465688
7965,NC1CCCCC1,Existing,11.943602,0.09137856
2899,NC1CCCCCC1,Existing,12.238161,-0.19436648
2903,NC1CCCCCCC1,Existing,12.178691,-0.007600049
76688,NCC1CCCCC1,Existing,13.092032,-0.39639598
20509,NCCC1CCCCC1,Existing,13.145366,-1.019395
76938,NCCC1=CCCCC1,Existing,13.776056,-0.035693962
419223,NC1CCOCC1,Existing,12.517312,1.1839362
129866010,CC1CC(ON)OC1C,Existing,14.799248,1.1428128
3847030,NC1CCC(F)(F)CC1,Existing,12.865863,1.0929309
10422,C1CNC1,Existing,14.042297,-1.4247168
8082,C1CCNCC1,Existing,14.401114,-1.0391861
66059,C1=CCNC1,Existing,14.0827265,-0.6014099
52911246,FC1CCCNCC1,Existing,14.882331,-0.3483242
2758352,FC1(F)CCNCC1,Existing,14.678811,-0.5307358
7504,NCc1ccccc1,Existing,13.221078,3.26915
66035,Cc1ccc(CN)cc1,Existing,13.535137,3.3481438
7515,CNc1ccccc1,Existing,14.929349,2.3981397
1001,NCCc1ccccc1,Existing,13.122315,1.2779753
7408,CC(N)c1ccccc1,Existing,13.31022,4.3205833
643189,CC(N)c1ccccc1,Existing,13.396805,4.2196364
75818,CC(N)c1ccccc1,Existing,13.391597,4.225752
76751,Cc1ccc(CCN)cc1,Existing,13.29203,1.0682422
1547949,CC(CN)c1ccccc1,Existing,12.650668,0.9736028
1547950,CC(CN)c1ccccc1,Existing,12.811836,0.8284791
414329,Cc1cc(C)cc(CCN)c1,Existing,13.482551,1.2115818
16259,NCCCc1ccccc1,Existing,13.280252,0.6385179
83242,NCCCCc1ccccc1,Existing,13.406457,0.4549626
137282,NCc1ccc2ccccc2c1,Existing,14.222264,3.2806766
98089,CC(N)c1cccc2ccccc12,Existing,14.60339,3.5436041
66325,CC(N)c1cccc2ccccc12,Existing,14.528395,3.4410198
2724264,CC(N)c1cccc2ccccc12,Existing,14.48173,3.5925224
3784378,NCCc1ccc2ccccc2c1,Existing,13.963342,1.4510547
7102,Nc1ccc(-c2ccccc2)cc1,Existing,15.967397,3.2057219
28210,NCCc1ccc(-c2ccccc2)cc1,Existing,13.356819,1.3502046
3311060,NCCCCc1ccc2ccc3cccc4ccc1c2c34,Existing,14.590973,1.5760635
34005,NCc1cccs1,Existing,14.617436,1.119485
116521,NCCc1cccs1,Existing,14.190064,1.0229819
22250,CNc1ccc(OC)cc1,Existing,15.00633,2.2118957
4657,COc1ccc(CCN)cc1,Existing,13.902979,1.3716944
7807,Nc1ccc(Br)cc1,Existing,16.029106,2.7602212
77571,NCc1ccc(Br)cc1,Existing,13.700016,2.9722064
457588,CNCc1cccc(Br)c1,Existing,14.011698,2.428386
2734091,NCCc1ccccc1Br,Existing,13.575867,1.3638599
533915,NCCc1ccc(Br)cc1,Existing,13.669067,1.3860387
18509414,NCCc1cc(Br)cc(Br)c1,Existing,13.760443,1.110875
7812,Nc1ccc(Cl)cc1,Existing,16.622604,3.235125
66036,NCc1ccc(Cl)cc1,Existing,13.618012,3.4056342
122721,CNCc1cccc(Cl)c1,Existing,13.594713,2.9130676
83117,NCCc1ccccc1Cl,Existing,13.073857,1.5220739
67430,NCCc1ccc(Cl)cc1,Existing,13.395297,1.6749333
15670830,NCCc1cc(Cl)cc(Cl)c1,Existing,13.335467,0.8025367
97803,CC(N)c1ccc(Cl)cc1,Existing,13.472174,4.1838317
1715226,CC(N)c1ccc(Cl)cc1,Existing,13.595199,3.99839
1550852,CC(N)c1ccc(Cl)cc1,Existing,13.671576,3.913996
2759011,CNc1cccc(F)c1,Existing,14.691076,2.2544842
68024,CNc1ccc(F)cc1,Existing,14.82729,2.085775
66649,NCc1ccccc1F,Existing,13.808305,2.5242004
67326,NCc1ccc(F)cc1,Existing,13.640088,2.88166
457577,CNCc1cccc(F)c1,Existing,14.218481,2.4387429
643357,NCCc1ccccc1F,Existing,13.021189,1.462776
533928,NCCc1cccc(F)c1,Existing,13.568509,1.0419139
4653,NCCc1ccc(F)cc1,Existing,13.437065,1.0791119
11052938,NCCc1c(F)c(F)c(F)c(F)c1F,Existing,13.191914,0.9892352
69883,NCCc1ccccc1C(F)(F)F,Existing,13.128174,0.97533965
2737533,NCc1ccc(I)cc1,Existing,14.02584,3.2980015
795,c1c[nH]cn1,Existing,16.342642,1.2371477
1390,Cn1ccnc1,Existing,15.029895,0.40180695
5798,c1ccc2[nH]cnc2c1,Existing,16.258455,1.7659471
78736,NCCCn1ccnc1,Existing,14.69902,0.2578807
9257,c1nc[nH]n1,Existing,15.220229,0.77854127
10009,Nc1cccnc1,Existing,16.35476,0.70692265
31018,NCc1cccnc1,Existing,16.200819,-0.4848655
77317,NCc1ccncc1,Existing,16.704494,-0.20887929
1150,NCCc1c[nH]c2ccccc12,Existing,14.876595,1.5183845
9256,c1cscn1,Existing,15.235759,0.1936371
70714,Ic1cccnc1,Existing,15.655711,-0.25603732
12286,Brc1cccnc1,Existing,15.9906,-0.06929451
345375,Fc1cc2nc[nH]c2cc1F,Existing,16.00803,1.7888432
3301,NCCN,Existing,11.848361,-1.4004599
428,NCCCN,Existing,11.438979,-1.6538832
1045,NCCCCN,Existing,11.125215,-1.7553028
273,NCCCCCN,Existing,11.070708,-1.7078753
16402,NCCCCCCN,Existing,10.776553,-1.9794081
69533,NCCCCCCCN,Existing,10.801979,-1.9490209
24250,NCCCCCCCCN,Existing,10.903897,-1.7378143
69534,NCCCCCCCCCN,Existing,10.9162445,-1.8517499
1317,NCCCCCCCCCCN,Existing,10.913138,-1.8421786
17727,NCCCCCCCCCCCCN,Existing,10.973651,-1.7706926
85862,CC(CN)CCCN,Existing,13.460973,-1.2238649
8014,CNCCN,Existing,13.56989,-0.41235927
80511,CNCCCN,Existing,13.7301855,-1.2406906
66053,CN(C)CCN,Existing,13.379744,-0.51555395
66978,CNCCCNC,Existing,14.066366,-1.1551718
193756,C[N+](C)(C)CCN,Existing,12.937413,0.32258233
4091,CN(C)C(=N)N=C(N)N,Existing,14.954586,1.6828659
2915,NCCSSCCN,Existing,12.568058,-0.7064742
2039,N=C(N)SCCN,Existing,13.345681,0.34575945
70248,NCCOCCOCCN,Existing,12.820645,-0.6016799
61157,NCC(O)CN,Existing,12.420816,-1.0313176
4610,NC1CCCCC1N,Existing,12.051397,0.013001832
17354,NCC1CCC(CN)CC1,Existing,13.100808,-0.55498546
4837,C1CNCCN1,Existing,13.875181,-0.5676949
79196,CCN1CCNCC1,Existing,14.2072,0.48959756
53167,CN1CCNCC1,Existing,14.304747,0.1679163
8795,NCCN1CCNCC1,Existing,14.0236435,0.07193622
90865,NCC1CCCCN1,Existing,14.272816,0.092645966
90880,NCC1CCCNC1,Existing,14.346666,-0.4180115
23527,NCC1CCNCC1,Existing,14.272735,-0.5032932
33944,NCCN1CCCCC1,Existing,13.190524,-0.20608942
164401,NC1CCNC1,Existing,14.0946045,0.70705605
75994,c1ccc(CN2CCNCC2)cc1,Existing,14.185365,1.2495646
7814,Nc1ccc(N)cc1,Existing,16.1739,3.4069383
7472,CN(C)c1ccc(N)cc1,Existing,15.528029,3.1050587
7935,Nc1cccc(N)c1,Existing,15.966465,3.5883348
7577,Nc1ccc(Cc2ccc(N)cc2)cc1,Existing,15.479066,2.9981966
20134827,NCCc1cccc(N)c1,Existing,14.284284,1.9549788
74270,NCCNc1ccccc1,Existing,13.999098,1.7390076
77801,NCCNCc1ccccc1,Existing,12.752395,2.2913947
7111,Nc1ccc(-c2ccc(N)cc2)cc1,Existing,15.83489,3.1403527
16720,Nc1cccc2c(N)cccc12,Existing,15.331168,3.4022973
774,NCCc1cnc[nH]1,Existing,15.313981,0.9241873
3082145,NCCc1ncc[nH]1,Existing,16.44155,1.2069288
101463,c1c[nH]c(-c2ncc[nH]2)n1,Existing,16.49445,1.1673362
202043,N=C(N)c1cccnc1,Existing,15.921627,-0.41112304
409094,N=C(N)c1ccncc1,Existing,16.783907,0.075221285
11107,c1cc(-c2ccncc2)ccn1,Existing,16.596188,-0.23060118
78630,c1cc(CCc2ccncc2)ccn1,Existing,16.65853,-0.061182052
83275,NCCc1ccncc1,Existing,16.462065,-0.45011467
75919,NCCc1ccccn1,Existing,15.695013,0.2996572
854051,NCCc1cccnc1,Existing,15.946445,-0.43227598
118785,CCCn1ccnc1,Potential,14.860881,0.4219361
4,CC(O)CN,Potential,12.506667,-0.8309233
323593,Nc1ccc(Br)cc1N,Potential,15.985156,2.3632784
2734101,NCCc1c(Cl)cccc1Cl,Potential,13.552444,1.4234086
485400,CNCc1ccc(Br)cc1,Potential,13.696899,2.427531
12315,CCCNC,Potential,14.055629,-1.2277936
485432,NCc1c(Cl)cccc1Cl,Potential,13.689318,3.3246734
485436,CNCc1ccc(Cl)c(Cl)c1,Potential,14.044804,2.700846
641098,C(=Cc1ccncc1)c1ccccc1,Potential,16.522202,0.29497173
79,N#Cc1cccnc1,Potential,15.87527,-0.58948123
2736229,CN(C)CCN1CCNCC1,Potential,14.259258,0.40860537
79978,CC(=O)Nc1cccnc1,Potential,15.913187,0.76281834
139381,NCCc1cccc(Cl)c1,Potential,13.442419,1.5976366
522360,CNCc1ccccc1Br,Potential,14.209874,2.3508508
32893,CC(N)Cc1ccccc1,Potential,12.018112,1.6714367
2181,c1cncc(C2CCCCN2)c1,Potential,15.4140415,-0.1526832
77960,NC(Cc1ccccc1)Cc1ccccc1,Potential,12.347934,1.642498
90250,CCCNCCCN,Potential,13.606866,-0.9520578
8355,NCc1cccc2ccccc12,Potential,14.393091,3.2986605
8367,CCC(N)Cc1c[nH]c2ccccc12,Potential,14.952283,1.4338738
6484144,NCCCCN1CCCCC1,Potential,13.205151,-0.8628687
6951129,COc1ccc(CC(C)N)cc1,Potential,13.915565,1.878793
8413,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,Potential,15.35564,2.1425428
21887195,CNCCc1ccccc1F,Potential,14.718583,1.3986406
82140,Nc1ncc[nH]1,Potential,16.07161,1.1172205
3152105,Cc1nccn1CCCN,Potential,14.747891,0.38425565
69872,Nc1cc2ccccc2cc1N,Potential,15.270041,3.5503163
334072,NCc1ccccc1Br,Potential,13.891778,2.7106035
200957,NCCc1ccc(OCc2ccccc2)cc1,Potential,14.076472,1.5267061
1814795,CCCCCNCc1cccc(Br)c1,Potential,14.548693,1.491463
2773261,Brc1ncc[nH]1,Potential,16.530338,1.3050413
11804947,CCNc1ccc(OC)cc1,Potential,14.900335,2.2061334
442649,c1cncc(C2=NCCC2)c1,Potential,15.5844965,-0.09435821
2366,CNCCc1ccccn1,Potential,15.563425,0.35042757
4962631,CNCc1nccn1C,Potential,15.141114,0.6895792
221512,Nc1cc(Br)cc(Br)c1,Potential,15.669958,2.7421887
69966,NCCCCCCCCCCCN,Potential,10.923204,-1.8532302
2773328,Clc1ncc[nH]1,Potential,16.329252,1.2103486
16719,Nc1ccc(N)c2ccccc12,Potential,15.359999,3.3337011
69983,ONc1ccc(Cl)cc1,Potential,16.742893,3.128503
8562,Nc1ccc(N=Nc2ccccc2)c2ccccc12,Potential,15.418005,2.4961233
84352,CCNCc1ccccc1,Potential,12.60601,2.6870499
6713753,CCC(C)N,Potential,11.442362,0.07632055
412,c1cncc(C2CCCN2)c1,Potential,15.648454,-0.28879237
82334,CCNCCCNCC,Potential,13.884746,-1.0838822
70048,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,Potential,14.409109,0.8219439
